"Name","Comment"
"sabreezybandz","🫡🫡"
"louis.vuitton_don1","Idk why I really needed to hear this cause I took it personal.  Thanks"
"brianbilbao","Be accountable to your fucking word… and let the children watch. Parenting 101"
"rotten_ronnie88","Love this, brother! Keep up the amazing work!"
"darriusjwright","🐐"
"xxaldanaaa","That’s fucking right !!!!! 🤣 preach !"
"justinetimani","💯💯💯💯"
"ramdelmar","🙌"
"sixer.one","@40nfab2 appreciate that. I’m learning for big homie!"
"kfit86","💯 ❤️🔥💪"
"br0wnb0y_fit","Facts"
"cruzthis33","Preach"
"white_lightninggg","I’ve been following your journey since your big herc interview and I’ve always supported you but now I see you doing these events with people who are known fraudsters either facing charges or have already been convicted I hope the money isn’t blinding you and you don’t go  down the path they did taking advantage of people with little hope to more enrich your own life"
"michaeljunior__","Facts 💥👏🏽"
"starling2","Dat part champ! This is why men are failing bro! They to much into these damn computers and digital age they forgot about THE HUNTING AND THE ABILITY TO FUCKING HOLD IT DOWN IN AT THE HOME FRONT IF NEED BE!!"
"vita_calderone","Whos Wolfe Watson?"
"alfredozapatacoach","Well said hombre successful!🔥🔥"
"blake.featherly","FACTS"
"the.gbrand","So good!!!"
"ironfitbymattpaul","Truth ! Preaching some heat 🔥"
"madriles_alex","📠 👏👏👏"
"art_dsilv","💯"
"machines_n_motion","COMPRESSION >compassion 💯👊🏻"
"dflores_20","Real deal bro! 💯💯💯"
"ahora","If someone doesn’t think this is just facts, he is lying to himself."
"akilyahmainor","🔥🔥🔥👏🙌"
"_internationalizm","🗣️🗣️🗣️🗣️🗣️"
"ernie_itc","👏👏👏"
"alleystar90210","🔥🔥🔥🔥"
"alleystar90210","🔥🔥🔥🔥"
"alleystar90210","🔥🔥🔥🔥"
"coachtata_","Don’t get lost in the delivery! 👂to the messages"
"winkandsmile2020","Tiffany is a little bitch. She could lose 10lbs too. Don’t bother me because I got a beer belly. I earned that shit workin a 9-5 for 20+ years. I’m consistent and getting to work everyday and bringing home that check! How you think we put McDonalds on the table???!!"
"the_creation_of_adam_la","Lol 😂"
"tecatemateo","Hopefully you can have a daughter of your own someday, Wes"
"_j.coast_","Let’s fucking goooooooooooo!!!! 😈😈😈😈😈"
"realstephenlarkin","Bro is the honest goat"
"ashtonlee_life","🔥🔥🔥🔥"
"pkizzle_510","🔥🤘💀💯💀🤘🔥"
"starling2","I had someone tell me about your page. I don’t follow to many in our lane because a lot of them full of shit, so far you seem stand up to me my guy. So I’ll fug with ya! Get it my man!"
"sixer.one","@sixer.one *from"
"crossing_8","Facts bro🔥🔥🔥🔥"
"arivip","He's not wrong, this goes for anyone in a leadership position. Always lead by example 💪"
"jameswweirick","Thank you!  I’m always trying to make my nieces and nephews want to walk my path.  I can only do this by making this the favored path."
"r_dlow5","👏"
"reid1cul0us","TALK IS CHEAP ‼️"
"izzopro","🔥🔥🔥🔥"
"luchieemanubz","This what I wake up to everyday as a alarm reminder everyday at5am !!"
"jimfit87","🗣📣 💯💯💯🙌🏼🙌🏼"
"nvr_ending_work_load","Embarrassed? No. I'm feeling pretty fkn proud of  the path I've been walking for the passed 8yrs. It took 35yrs of being of bitch to get there though."
"triple6rick","For Context: Wes Watson was asked if he has any children"
"work_online_with_vanya","🔥🔥"
"tavmon","All fact 🔥"
"woman_of_worth_31","❤️"
"mgdarisktaker","Keep it coming Wes 💯💯 we need this"
"adoseofgricelda","👏👏👏"
"dan_korte","This is what drives me. Thanks for sharing 👊🔥"
"badassgaines","@ninoswizz 🙌"
"badassgaines","@watson_fit keep it 💯 ❤️"
"humberbayboxing","Right!!👏"
"chris_g_coaching","🔥🔥🔥🔥"
"djempress","Hell yeah! 🔥🔥🔥👏👏"
"fixthatcredit","Why is it that only trolls get a reply? Show love to those that love yo sh!t champ!😂"
"kentucky.survivalist2","This is my dad. Can confirm, I see him as a fat coward. I just rarely interact because I don’t want that kind of negative influence in my life. I keep myself in good shape."
"charles_in_chargerealestate","🙌🙌"
"woodrow.rogers","The only thing I could possibly see someone having an issue with is his offensive language if you're a snowflake. But other than that he was only spitting facts, how can you not agree that leading by example is the best way to parent a child?? How can you argue with that??"
"bignellywestcoast","💯 Wes!!"
"bretbret","Just like this guy as a human being. He’s real. Fuck your feelings. I will never be a fat fucking dad. I’m not comfortable with that shit at all. I wana be able to be that dude. At all the family gatherings at all the shit where u got these fat sloppy fucking dudes that sit at a desk all day I ain’t rich. But the shit I put in my body is. And I feel rich. Wana look like a million bucks? Gota stop eaten from the dollar menu. @watson_fit  is the man dude.. following homie for a long time…before the riches…he speaks truth."
"princessabby323","Damn this is the cold truth! 🥶"
"smokeyfrmtha9","💪🏽💪🏽"
"zoni_boys","Childless people be like:"
"nik_becker79","Facts!!"
"businessminded71","I don’t care about his delivery everything he says is 💯% true. Maybe tough but he ain’t lying"
"illgrindio","@rob_digga87 😂"
"benito_camelo23","💯"
"charlton_richard90","100% 🔥These 4 sons of mine are gonna take over the fucking world. 🙌🔥"
"robiesinanan","You are such a nasty man."
"damsan2022","Thanks i needed it"
"banditsandbusiness","No lies detected here. But Wes has been saying this for years and he embodies it"
"thebitchyhousewife","This is such facts!!! My husband is a lot like you and I love the man that he is. Our sons are so proud and so am I."
"realdanielmiguel","Should I send this to my dad? Lol"
"cuzzsantana","Real talk brother Wes 💯💪pain into fkn Purpose"
"cuzzsantana","@cuzzsantana from Nothing ! Born 1984 . Rich.Ripped.Rear 💯Raw"
"zaczhourofficial","🔥🔥"
"b_t_h83","@ericabyrness shows you’ve never had a real man"
"the.sinsei","Straight no chase💯💯💯"
"literallymyicloudbackup","wat if they adopted"
